team_id,team_name,ko_name,ko_name_short,primary_color_override,number_color_override
1371,Carlisle United,칼라일 유나이티드,칼라일
1375,Morecambe,모컴,모컴
1377,Yeovil Town,요빌 타운,요빌
1378,Forest Green Rovers,포레스트 그린 로버스,포레스트 그린
1818,Aldershot Town,올더숏 타운,올더숏
1822,Eastleigh,이스틀리,이스틀리
1823,Gateshead,게이츠헤드,게이츠헤드
1828,York City,요크 시티,요크
1830,Boreham Wood,보어럼 우드,
1831,Braintree Town,브레인트리 타운,브레인트리
1834,Solihull Moors,솔리헐 무어스,솔리헐
1835,Sutton United,서튼 유나이티드,서튼
1836,Woking,워킹,워킹
1841,Halifax Town,핼리팩스 타운,핼리팩스
4699,Truro City,트루로 시티,트루로
4700,Altrincham,올트링엄,올트링엄
4701,Brackley Town,브래클리 타운,브래클리
7752,Tamworth,탬워스,탬워스
8146,Boston United,보스턴 유나이티드,보스턴
8663,Wealdstone,윌드스톤,윌드스톤
1,Belgium,벨기에,,fa0000,ffd700
2,France,프랑스,,ffffff,000000
3,Croatia,크로아티아,,ffffff,000000
5,Sweden,스웨덴,,ffd700,005695
6,Brazil,브라질,,ffd200,029c55
7,Uruguay,우루과이,,55b5e5,000000
8,Colombia,콜롬비아,,ffff23,234567
9,Spain,스페인,,ff0028,ffc908
10,England,잉글랜드,,ffffff,ea1f29
11,Panama,파나마,,da121a,ffffff
12,Japan,일본,,212b57,ffffff
13,Senegal,세네갈,,00863d,fdf040
15,Switzerland,스위스,,ff0000,ffffff
16,Mexico,멕시코,
20,Australia,오스트레일리아,호주,feba00,008686
22,Iran,이란,,ffffff,da0000
23,Saudi Arabia,사우디아라비아,사우디,00532c,ffffff
25,Germany,독일,,ffffff,000000
26,Argentina,아르헨티나,,74acdf,ffffff
27,Portugal,포르투갈,,c11839,ffffff
28,Tunisia,튀니지,,c9000a,ffffff
31,Morocco,모로코,,db2017,ffffff
32,Egypt,이집트,,c9082a,ffffff
770,Czech Republic,체코,,97102a,ffffff
775,Austria,오스트리아,,c8102e,ffffff
777,Türkiye,튀르키예,,ffffff,e00310
777,Turkey,튀르키예,,ffffff,e00310
1090,Norway,노르웨이,,ba0c2f,ffffff
1108,Scotland,스코틀랜드,,101e37,ffffff
1118,Netherlands,네덜란드,,f36c21,ffffff
1501,Ivory Coast,코트디부아르,,ff8200,ffffff
1501,Côte d'Ivoire,코트디부아르,,ff8200,ffffff
1504,Ghana,가나,,ffffff,000000
1508,Congo DR,콩고민주공화국,DR 콩고,007fff,ce1021
1531,South Africa,남아프리카공화국,남아공,fbc31f,009637
1532,Algeria,알제리,,ffffff,006633
1533,Cape Verde Islands,카보베르데,,022763,ffffff
1548,Jordan,요르단,,ffffff,c10a2e
1567,Iraq,이라크,,128154,ffffff
1568,Uzbekistan,우즈베키스탄,우즈벡,ffffff,2654e5
1569,Qatar,카타르,,8a1538,ffffff
2380,Paraguay,파라과이,,cc001c,ffffff
2382,Ecuador,에콰도르,,ffce00,002255
2384,USA,미국,
2386,Haiti,아이티,,001aa0,ffffff
4673,New Zealand,뉴질랜드,,ffffff,000000
5529,Canada,캐나다,,da291c,ffffff
5530,Curaçao,퀴라소,,002b7f,ffffff
17,Korea Republic,대한민국,,e6002d,021858
1728,Korea Republic W,대한민국,,e6002d,021858
534,Las Palmas,라스 팔마스,라스 팔마스
535,Malaga,말라가,말라가,a8d7f5,00469b
537,Leganes,레가네스,레가네스
544,Deportivo La Coruna,데포르티보 아 코루냐,데포르티보,0164a5,f3f3f3
545,Eibar,에이바르,에이바르
713,Cordoba,코르도바,코르도바
715,Granada CF,그라나다,그라나다
720,Valladolid,레알 바야돌리드,바야돌리드
722,Albacete,알바세테,알바세테
723,Almeria,알메리아,알메리아
724,Cadiz,카디스,카디스
725,Cultural Leonesa,쿨투랄 데 레오네사,쿨투랄
726,Huesca,우에스카,우에스카
731,Sporting Gijon,스포르팅 히혼,스포르팅G
732,Zaragoza,레알 사라고사,사라고사
799,Mirandes,미란데스,미란데스
4665,Racing Santander,라싱 산탄데르,라싱S,299b24,000000
5254,Castellón,카스테욘,카스테욘
8157,Andorra,안도라,안도라
9580,Burgos,부르고스,부르고스
9585,Real Sociedad II,레알 소시에다드 B,소시에다드B
10139,AD Ceuta,AD 세우타,세우타
487,Lazio,라치오,라치오,84d8f8,003976
488,Sassuolo,사수올로,사수올로,00a752,ffffff
489,AC Milan,AC 밀란,AC 밀란,e30013,ffffff
490,Cagliari,칼리아리,칼리아리,951426,ffffff
492,Napoli,나폴리,나폴리,01a7e1,ffffff
494,Udinese,우디네세,우디네세,000000,987e52
495,Genoa,제노아,제노아,9d002c,fed508
496,Juventus,유벤투스,유벤투스,ffffff,000000
497,AS Roma,AS 로마,로마,990a2c,fbba00
499,Atalanta,아탈란타,아탈란타,0d68b1,ffffff
500,Bologna,볼로냐,볼로냐,1a2f48,dedee2
502,Fiorentina,피오렌티나,피오렌티나,5a318c,ffffff
503,Torino,토리노,토리노,7c1d21,ffffff
504,Hellas Verona,엘라스 베로나,H. 베로나
505,Inter,인테르나치오날레 밀라노,인테르
520,Cremonese,크레모네세,크레모네세
523,Parma,파르마,파르마,ffffff,000000
801,Pisa,피사,피사
867,Lecce,레체,레체,002355,c99d66
895,Como,코모,코모,114169,ffffff
498,Sampdoria,삼프도리아,삼프도리아
508,Bari,바리,바리
509,Cesena,체세나,체세나
511,Empoli,엠폴리,엠폴리
512,Frosinone,프로시노네,프로시노네,ffdd00,004393
515,Spezia,스페치아,스페치아
517,Venezia,베네치아,베네치아,ee732e,000000
522,Palermo,팔레르모,팔레르모
525,Pescara,페스카라,페스카라
527,Virtus Entella,비르투스 엔텔라,엔텔라
528,Avellino,아벨리노,아벨리노
863,Juve Stabia,유베 스타비아,JST
870,Padova,파도바,파도바
880,Reggiana,레자나,레자나
899,Modena,모데나,모데나
1578,Sudtirol,쥐드티롤,쥐드티롤
1579,Monza,몬차,몬차,d81424,ffffff
1581,Carrarese,카라레세,카라레세
1687,Catanzaro,카탄차로,카탄차로
1693,Mantova,만토바,만토바
157,Bayern München,바이에른 뮌헨,바이언,ec053d,ffffff
160,SC Freiburg,프라이부르크,프라이부르크,e40521,ffffff
161,VfL Wolfsburg,볼프스부르크,볼프스부르크,09633d,ffffff
162,Werder Bremen,베르더 브레멘,브레멘,1d9053,ffffff
163,Borussia Mönchengladbach,보루시아 묀헨글라트바흐,묀헨글라트바흐,ffffff,000000
164,FSV Mainz 05,마인츠,마인츠,e30613,ffffff
165,Borussia Dortmund,보루시아 도르트문트,도르트문트,ffe600,000000
167,1899 Hoffenheim,호펜하임,호펜하임,1f5da6,ffffff
168,Bayer Leverkusen,바이어 레버쿠젠,레버쿠젠,d0021b,ffffff
169,Eintracht Frankfurt,아인트라흐트 프랑크푸르트,프랑크푸르트,000000,ed1c2a
170,FC Augsburg,아우크스부르크,아우크스부르크,166c42,ffffff
