league_id, league_name, league_name_ko, logo_url
305, Stars League, 카타르 스타즈 리그
677, QSL Cup, QSL 컵
824, Emir Cup, 에미르 컵
301, Pro League, UAE 프로 리그
207, Super League, 스위스 슈퍼 리그
208, Challenge League, 스위스 챌린지 리그
209, Schweizer Cup, 스위스 컵
709, Cup, 아르메니아 컵
342, Premier League, 아르메니아 프리미어 리그
389, Premier League, 카자흐스탄 프리미어 리그
498, Cup, 카자흐스탄 컵
388, 1. Division, 카자흐스탄 퍼스트 리그
818, Super Cup, 카자흐스탄 슈퍼 컵
419, Premyer Liqa, 아제르바이잔 프리미어 리그
420, Cup, 아제르바이잔 컵
116, Premier League, 벨라루스 프리미어 리그
117, 1.Division, 벨라루스 퍼스트 리그
486, Coppa, 벨라루스 컵
812, Super Cup, 벨라루스 슈퍼 컵
285, Cupa României, 쿠파 로므니에이
283, Liga I, 루마니아 리가 I, https://upload.wikimedia.org/wikipedia/en/thumb/0/07/Superliga.svg/3840px-Superliga.svg.png
284, Liga II, 루마니아 리가 II,
555, SuperCupa, 수페르쿠파 로므니에이
273, Magyar Kupa, 마자르 쿠파
271, NB I, 넴제티 버이녹샤그 I
272, NB II, 넴제티 버이녹샤그 II
798, League Cup, 웨일스 리그 컵
110, Premier League, 컴리 프리미어
111, FAW Championship, 웨일스 2부리그
112, Welsh Cup, 웨일스 컵
333, Premier League, 우크라이나 프리미어 리그
334, Persha Liga, 우크라이나 퍼스트 리그
335, Cup, 우크라이나 컵
336, Druha Liga, 우크라이나 세컨드 리그
678, Super Cup, 우크라이나 슈퍼 컵
571, Vysshaya Liga, 타지키스탄 최고 리그
368, Premier League, 싱가포르 프리미어 리그
120, 1.Division, 덴마크 퍼스트 디비전
121, DBU Pokalen, DBU 포칼렌
119, Superliga, 덴마크 수페르리가
171, FA Cup, 중국 FA컵
170, Leauge One, 중국 갑급리그
972, Super Cup, 중국 슈퍼컵
169, Super League, 중국 슈퍼리그
10, Friendlies, 남자 국가대표 친선경기
667, Club Friendlies, 클럽 친선경기
666, Friendlies Women, 여자 국가대표 친선경기
1,World Cup,월드컵,https://upload.wikimedia.org/wikipedia/en/1/17/2026_FIFA_World_Cup_emblem.svg
569, Premier League, 키르기스 프리미어 리그
326, Erovnuli Liga 2, 에로브눌리리가 2
327, Erovnuli Liga, 에로브눌리리가
530, Super Cup, 조지아 슈퍼컵
672, David Kipiani Cup, 다비드 키피아니 컵
897,Asian Cup Women,여자 아시안컵
894,Asian Cup Women - Qualification,여자 아시안컵 예선
